note,start_time,end_time,status_id,created_at,updated_at,donor_id
nota : 9.473,2025-11-03 12:00:29.508,2025-11-03 14:00:29.508,1,2025-11-03 11:41:31.046612,2025-11-03 11:41:31.046612,7c2166f9-688b-40c6-8f2f-55113a223be4
NOTA : 9.332,2025-10-16 17:00:08.034,2025-10-16 18:00:08.034,4,2025-10-16 15:16:09.723711,2025-10-16 15:16:09.723711,7c2166f9-688b-40c6-8f2f-55113a223be4
notas: 9.339  e 9.340,2025-10-17 17:30:47.06,2025-10-17 19:00:47.06,4,2025-10-17 17:27:48.24967,2025-10-17 17:27:48.24967,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-18 15:15:57.509,2025-10-18 19:30:57.509,4,2025-10-18 14:59:59.53239,2025-10-18 14:59:59.53239,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-27 21:00:45.692,2025-10-27 23:30:45.692,4,2025-10-27 20:57:47.801764,2025-10-27 20:57:47.801764,7c2166f9-688b-40c6-8f2f-55113a223be4
NOTAS: 9.432 - 9.433 E 9.434,2025-10-28 18:15:23.751,2025-10-28 19:30:23.751,4,2025-10-28 18:06:25.266297,2025-10-28 18:06:25.266297,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-27 19:45:22.346,2025-10-27 22:00:22.346,4,2025-10-27 19:42:25.77446,2025-10-27 19:42:25.77446,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-25 15:45:41.989,2025-10-25 19:30:41.989,4,2025-10-25 15:33:46.209145,2025-10-25 15:33:46.209145,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-23 18:00:29.141,2025-10-23 21:00:29.141,4,2025-10-23 17:53:32.065566,2025-10-23 17:53:32.065566,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-21 17:45:23.375,2025-10-21 19:45:23.375,4,2025-10-21 17:43:24.998031,2025-10-21 17:43:24.998031,7c2166f9-688b-40c6-8f2f-55113a223be4
NOTA : 9.441,2025-10-29 18:45:46.723,2025-10-29 19:00:46.723,4,2025-10-29 18:34:48.654568,2025-10-29 18:34:48.654568,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-15 17:45:35.042,2025-10-15 19:45:35.042,4,2025-10-15 17:24:37.414218,2025-10-15 17:24:37.414218,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-11-03 14:45:20.283,2025-11-03 19:00:20.283,1,2025-11-03 14:47:23.596495,2025-11-03 14:47:23.596495,7c2166f9-688b-40c6-8f2f-55113a223be4
notas 94.84 e 9.487,2025-11-05 18:00:19.643,2025-11-05 19:00:19.643,1,2025-11-05 17:44:22.140788,2025-11-05 17:44:22.140788,7c2166f9-688b-40c6-8f2f-55113a223be4
nota 9.492,2025-11-05 18:00:17.717,2025-11-05 19:00:17.717,1,2025-11-05 17:48:19.009638,2025-11-05 17:48:19.009638,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-11-06 18:45:26.714,2025-11-06 21:00:26.714,1,2025-11-06 19:04:29.061697,2025-11-06 19:04:29.061697,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-11-07 15:30:40.313,2025-11-07 21:45:40.313,1,2025-11-07 20:26:44.538414,2025-11-07 20:26:44.538414,7c2166f9-688b-40c6-8f2f-55113a223be4
nota 9.578,2025-11-17 18:00:27.019,2025-11-17 19:00:27.019,3,2025-11-17 18:01:28.280766,2025-11-17 18:01:28.280766,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-11-11 17:45:21.143,2025-11-11 19:45:21.143,1,2025-11-11 17:34:23.310263,2025-11-11 17:34:23.310263,7c2166f9-688b-40c6-8f2f-55113a223be4
notas 9.575 e 9.576,2025-11-15 17:00:36.652,2025-11-15 18:30:36.652,2,2025-11-15 16:52:38.075146,2025-11-15 16:52:38.075146,7c2166f9-688b-40c6-8f2f-55113a223be4
